Date;20741 - Average interest rate of nonearmarked new credit operations - Households - Overdraft - % p.y.;20747 - Average interest rate of nonearmarked new credit operations - Households - Payroll-deducted personal loans - Total - % p.y.;22022 - Average interest rate of nonearmarked new credit operations - Households - Credit card revolving credit - % p.y.;22023 - Average interest rate of nonearmarked new credit operations - Households - Credit card financing - % p.y.
03/2011;164.18 ;29.21 ;272.26 ;123.32
04/2011;167.72 ;29.72 ;278.62 ;124.27
05/2011;169.03 ;29.71 ;285.75 ;118.04
06/2011;169.91 ;29.34 ;278.54 ;118.68
07/2011;170.67 ;28.91 ;281.29 ;112.38
08/2011;170.47 ;28.93 ;302.87 ;104.75
09/2011;170.45 ;29.09 ;325.05 ;111.11
10/2011;171.00 ;29.02 ;332.97 ;108.82
11/2011;171.98 ;28.64 ;323.78 ;109.03
12/2011;169.88 ;28.45 ;317.50 ;103.59
01/2012;169.76 ;28.65 ;322.67 ;111.03
02/2012;169.82 ;28.73 ;308.25 ;112.10
03/2012;170.37 ;28.67 ;322.96 ;107.57
04/2012;163.42 ;27.55 ;331.43 ;113.48
05/2012;158.60 ;26.65 ;325.72 ;111.55
06/2012;156.90 ;25.71 ;334.29 ;113.96
07/2012;144.43 ;25.41 ;329.90 ;113.49
08/2012;141.99 ;24.94 ;320.53 ;114.05
09/2012;141.49 ;25.16 ;311.36 ;118.10
10/2012;140.14 ;24.80 ;298.35 ;113.06
11/2012;139.82 ;24.62 ;293.72 ;109.77
12/2012;138.22 ;24.46 ;281.86 ;106.74
01/2013;138.15 ;24.50 ;275.56 ;107.18
02/2013;138.67 ;24.74 ;276.84 ;105.92
03/2013;138.11 ;24.62 ;277.73 ;105.17
04/2013;136.98 ;24.34 ;282.10 ;100.13
05/2013;136.47 ;24.19 ;281.67 ;105.36
06/2013;136.93 ;24.24 ;282.17 ;105.94
07/2013;137.64 ;24.35 ;291.43 ;103.44
08/2013;139.02 ;24.45 ;291.27 ;106.07
09/2013;143.41 ;24.30 ;292.36 ;101.49
10/2013;144.63 ;24.58 ;296.15 ;102.46
11/2013;146.49 ;24.49 ;301.60 ;105.60
12/2013;148.09 ;24.37 ;312.76 ;103.96
01/2014;154.11 ;24.91 ;309.47 ;106.45
02/2014;156.74 ;25.10 ;315.13 ;105.83
03/2014;159.43 ;25.30 ;313.67 ;104.77
04/2014;161.95 ;25.28 ;305.00 ;104.71
05/2014;168.65 ;25.52 ;305.65 ;105.92
06/2014;171.67 ;25.57 ;308.29 ;106.09
07/2014;172.53 ;25.86 ;308.02 ;105.56
08/2014;172.96 ;25.83 ;311.25 ;106.68
09/2014;183.46 ;25.88 ;311.95 ;107.57
10/2014;187.98 ;25.50 ;319.66 ;106.85
11/2014;191.76 ;25.73 ;327.80 ;106.99
12/2014;200.99 ;25.90 ;331.64 ;104.11
01/2015;208.95 ;26.43 ;334.61 ;106.34
02/2015;214.23 ;26.78 ;342.65 ;112.07
03/2015;220.35 ;26.80 ;345.84 ;111.48
04/2015;225.94 ;26.97 ;347.35 ;114.52
05/2015;231.96 ;27.26 ;360.30 ;115.85
06/2015;241.30 ;27.30 ;371.52 ;119.60
07/2015;246.91 ;27.78 ;394.44 ;120.65
08/2015;253.19 ;27.78 ;403.45 ;129.16
09/2015;263.73 ;27.55 ;414.24 ;129.03
10/2015;278.13 ;28.01 ;405.15 ;131.31
11/2015;284.87 ;28.42 ;415.32 ;134.84
12/2015;287.02 ;28.82 ;431.38 ;136.21
01/2016;292.34 ;29.28 ;439.46 ;144.45
02/2016;293.90 ;29.54 ;443.93 ;146.08
03/2016;300.76 ;29.85 ;449.35 ;145.91
04/2016;308.67 ;29.69 ;452.38 ;150.41
05/2016;311.48 ;29.64 ;471.53 ;148.99
06/2016;315.71 ;29.35 ;470.87 ;149.50
07/2016;318.43 ;29.22 ;471.73 ;151.35
08/2016;321.07 ;29.30 ;474.99 ;152.20
09/2016;324.90 ;29.29 ;480.19 ;154.85
10/2016;328.52 ;29.47 ;475.81 ;156.14
11/2016;330.64 ;29.43 ;482.15 ;155.43
12/2016;328.63 ;29.26 ;484.57 ;153.75
Source;BCB;BCB;BCB;BCB
